time =                    7, X = 0,  Z = 0,outState = z
time =                   21, X = 1,  Z = 2,outState = 2
time =                   35, X = 1,  Z = 2,outState = 0
time =                   49, X = 3,  Z = 1,outState = 0
time =                   63, X = 1,  Z = 2,outState = 2
time =                   77, X = 1,  Z = 2,outState = 0
time =                   91, X = 1,  Z = 2,outState = 2
time =                  105, X = 1,  Z = 2,outState = 0
time =                  119, X = 2,  Z = 3,outState = 1
time =                  133, X = 1,  Z = 2,outState = 1
time =                  147, X = 0,  Z = 2,outState = 0
time =                  161, X = 2,  Z = 3,outState = 1
time =                  175, X = 1,  Z = 2,outState = 1
time =                  189, X = 2,  Z = 3,outState = 2
time =                  203, X = 3,  Z = 1,outState = 1
time =                  217, X = 2,  Z = 3,outState = 2
time =                  231, X = 2,  Z = 3,outState = 1
time =                  245, X = 2,  Z = 3,outState = 2
time =                  259, X = 0,  Z = 0,outState = 3
time =                  273, X = 0,  Z = 0,outState = 2
time =                  287, X = 1,  Z = 2,outState = 0
time =                  301, X = 1,  Z = 2,outState = 2
time =                  315, X = 3,  Z = 1,outState = 1
time =                  329, X = 2,  Z = 3,outState = 2
time =                  343, X = 0,  Z = 0,outState = 3
time =                  357, X = 2,  Z = 1,outState = 1
time =                  371, X = 2,  Z = 3,outState = 2
time =                  385, X = 3,  Z = 1,outState = 1
time =                  399, X = 1,  Z = 2,
